step,policy,efe,risk,ambiguity,epistemic,predicted_joule_horizon,predicted_excess_energy_horizon,projected_terminal_debt,projected_path_debt,vfe,center,sigma,precision,kappa,internal_fraction,boundary_fraction,external_fraction,coupling_proxy,step_joule_total,step_joule_particle,step_joule_control,step_leakage,cumulative_joule_total,mean_abs_external,mean_abs_active,mean_abs_y,baseline_step_joule_total,baseline_step_joule_particle,baseline_step_joule_control,baseline_cumulative_joule_total,step_joule_saving_vs_baseline,cumulative_joule_saving_vs_baseline,energy_debt,breakeven_step,step_joule_total_ema,baseline_step_joule_total_ema,energy_debt_ema,cumulative_joule_saving_ema,efe_ema
0,relax,15.799494864789285,15.661353198130751,0.12463595044122315,1.0700870135276748,0.03788601271761898,0.005760514451028105,0.005760514451028105,0.033775841388183916,0.9978459986790376,-0.004078404876234757,0.4110626874178298,1.5656280828449636,0.76,0.3781197936848758,0.131204763472229,0.4906754421245832,0.019063138781578604,0.061866541670816885,0.05719324498899114,0.0046732966818257456,0.46614167001835377,0.0024746616668326754,0.6788959259945505,0.3432671587039268,0.3927402817979491,0.05733048101226923,0.05711501673548779,0.00021546427678143854,0.002293219240490769,-0.004536060658547655,-0.00018144242634190623,0.00018144242634190623,,0.061866541670816885,0.05733048101226923,0.00018144242634190625,-0.00018144242634190625,15.799494864789285
1,relax,16.915425909393036,16.35194716525312,0.0987416383858298,0.5348784666891577,0.0387211051189751,0.006639728789609599,0.006821171215951505,0.04171241588479689,0.9640345096251757,-0.006068300230973161,0.3580255710377478,2.1772913843127997,0.76,0.376597972663345,0.1448434055390207,0.47855862094958024,0.037371152291928784,0.0626767303451631,0.05768423205756004,0.0049924982876030696,0.45463068990210104,0.0049817308806392,0.37645380086066366,0.3641066308241388,0.3916420859844531,0.05755843952203564,0.05732156756352278,0.0002368719585128617,0.004595556821372195,-0.0051182908231274665,-0.0003861740592670049,0.0003861740592670049,,0.061931356764764585,0.05734871769305054,0.00019782095697591418,-0.00019782095697591418,15.888769348357584
2,relax,18.32076088315384,17.475952708404616,0.08224379406632691,0.3181056736913994,0.03979740830970046,0.007752570320607884,0.00813874437987489,0.051370059199101106,1.0784387094706334,-0.006923878307992338,0.3142750617472051,2.707909247314948,0.76,0.3640172188606512,0.1484615966491721,0.48752118357920043,0.04561668240722137,0.06323395490116933,0.05783481815852327,0.005399136742646056,0.46314512440024047,0.007511089076685973,0.42256730524424685,0.38466071735024343,0.3902567309761473,0.0573189940421763,0.057055907920100866,0.00026308612207543385,0.006888316583059247,-0.005914960858993026,-0.000622772493626726,0.000622772493626726,,0.06203556461567697,0.057346339800980604,0.00023181707990797915,-0.00023181707990797915,16.083328671141288
3,relax,20.054194369231276,18.947877313140225,0.07235120081035899,0.18017353998151858,0.04093572314646049,0.00893559660587262,0.009558369099499347,0.06220229812028506,1.1382420401784792,-0.006716043044063077,0.27933004001337614,3.1257541547962715,0.76,0.34977829263787485,0.13606239268880427,0.5141593137239169,0.04209818756005725,0.06368615971057337,0.057962747986903956,0.005723411723669409,0.4884513480377211,0.010058535465108908,0.7078621095636026,0.40129492405028594,0.38855379735126844,0.05700743564973128,0.05671944323003207,0.00028799241969920653,0.009168614009048498,-0.006678724060842091,-0.0008899214560604097,0.0008899214560604097,,0.062167612223268685,0.057319227468880664,0.0002844654300001736,-0.0002844654300001736,16.400997926988488
4,relax,21.523134479723076,20.192041762792485,0.06587571562567884,0.12580086039478694,0.04201625148999953,0.010070493034867055,0.010960414490927465,0.07366356389913735,1.1715307208202448,-0.006087485787246076,0.25124449467374493,3.409990071689978,0.76,0.3394118019469126,0.11303228916125682,0.5475559079349777,0.029929200873134824,0.06494993433435564,0.05897930932120941,0.0059706250131462335,0.5201781125382291,0.012656532838483133,0.8134522333905504,0.41431241779495814,0.38648984073301745,0.05747280302393084,0.05716031729260456,0.0003124857313262788,0.011467526130005732,-0.007477131310424802,-0.0011890067084774018,0.0011890067084774018,,0.062390197992155644,0.05733151351328468,0.0003568287322783519,-0.0003568287322783519,16.810768851207257
5,relax,22.239394322965833,20.704764329671313,0.0621797147346355,0.1142211968534995,0.04293741986577471,0.011057550860201434,0.012246557568678835,0.085413925772279,0.962375838377411,-0.005371295938829927,0.22627048168531216,3.595363955113877,0.76,0.33173176713063285,0.07533746445857943,0.5929307674511903,0.018694483070134747,0.06680870619213042,0.06063347903746828,0.006175227154662143,0.5632842290786307,0.01532888108616835,0.6109856021828198,0.4256562939671627,0.38401626775371167,0.05829176697342555,0.05795919464180483,0.00033257233162072236,0.013799196808942754,-0.008516939218704868,-0.0015296842772255966,0.0015296842772255966,,0.06274367864815363,0.05740833379009595,0.0004506571758741315,-0.0004506571758741315,17.245058888947945
6,relax,22.837041230253124,21.09049271390374,0.059994361265737386,0.10723179787853744,0.04379546980265414,0.01197575961570489,0.013505443892930487,0.09789972634651052,0.757154740123179,-0.004408084729825243,0.20403879316940493,3.71871910255683,0.76,0.32387458691365395,0.04268701054394899,0.6334384015811451,0.0026835580112697763,0.06813056451959107,0.06179643843615332,0.006334126083437752,0.6017664815020879,0.018054103666951992,0.32209239060984585,0.4350735133109746,0.3811305716949085,0.05814909479218886,0.05780104451960676,0.00034805027258210156,0.01612516060063031,-0.009981469727402208,-0.001928943066321685,0.001928943066321685,,0.06317462951786862,0.05746759467026338,0.0005689200471099358,-0.0005689200471099358,17.69241747625236
7,relax,23.357813697058017,21.393314274518126,0.05864178376065239,0.11080719152971967,0.044608289116727,0.012838664900992806,0.014767607967314491,0.11118805619869092,0.6412763943085342,-0.0037404206292980333,0.1848724575207759,3.822060257392058,0.76,0.31457570981506955,0.02022936944713555,0.6651949197628941,0.004465478349787526,0.06911498144161382,0.06268063925879751,0.006434342182816311,0.631935173774749,0.020818702924616544,0.5346241008934948,0.44229637120655807,0.3777242028460665,0.05704854342112916,0.05668929521802989,0.0003592482030992648,0.018407102337475476,-0.012066438020484661,-0.0024116005871410713,0.0024116005871410713,,0.06364985767176824,0.05743407057033265,0.0007163344903124266,-0.0007163344903124266,18.145649173916812
8,relax,23.902879707075623,21.69076031759204,0.05758226930281357,0.08348397018657686,0.04537325140101404,0.013651414219971372,0.016063014807112443,0.12522810059213113,0.6007544027641563,-0.0034211822556847807,0.16942594799785374,3.9071198162461718,0.76,0.3054272680543867,0.00980764270487875,0.6847650882582199,0.038406013239471536,0.07072328266408515,0.06426425966874018,0.0064590229953449705,0.6505268338453084,0.02364763423117995,0.7752497442263017,0.4465792571490536,0.3737729923839414,0.0565301093498165,0.05616386151373719,0.00036624783607931146,0.020668306711468135,-0.01419317331426865,-0.0029793275197118173,0.0029793275197118173,,0.06421573167115359,0.05736175367269136,0.0008973739326643779,-0.0008973739326643779,18.60622761656952
9,relax,24.311555710677087,21.850773048627925,0.056782366835997064,0.07357658429644717,0.04610406045315605,0.014441497026153566,0.017420824545865382,0.13992083048720522,0.622092369710173,-0.0030633932374779906,0.15846191149539776,3.975177275801636,0.76,0.2982214034180591,0.010220924048328025,0.6915576715434621,0.05667971138092228,0.07393970114325084,0.06754087898689687,0.0063988221563539725,0.6569797879662886,0.026605222276909986,0.7630403652470686,0.44729160871244616,0.3692711963229262,0.057391993437589085,0.057021778642592814,0.0003702147949962676,0.0229639864489717,-0.016547707705661753,-0.0036412358279382874,0.0036412358279382874,,0.06499364922892137,0.057364172853883184,0.0011168828842862907,-0.0011168828842862907,19.062653864098127
